model,dataset,cutoff,predicted,actual,params
Alibaba-NLP/gte-multilingual-base,CohereLabs/wikipedia-2023-11-embed-multilingual-v3,64,"1,279","1,921",0.3
Alibaba-NLP/gte-multilingual-base,CohereLabs/wikipedia-2023-11-embed-multilingual-v4,96,853,"1,546",0.3
Alibaba-NLP/gte-multilingual-base,CohereLabs/wikipedia-2023-11-embed-multilingual-v4,128,640,"1,364",0.3
Alibaba-NLP/gte-multilingual-base,CohereLabs/wikipedia-2023-11-embed-multilingual-v5,192,426,"1,218",0.3
Alibaba-NLP/gte-multilingual-base,CohereLabs/wikipedia-2023-11-embed-multilingual-v5,256,320,"1,187",0.3
BAAI/bge-base-en-v1.5,CohereLabs/wikipedia-2023-11-embed-multilingual-v3,64,"3,568","2,458",0.1
BAAI/bge-base-en-v1.5,CohereLabs/wikipedia-2023-11-embed-multilingual-v4,96,"2,379","1,992",0.1
BAAI/bge-base-en-v1.5,CohereLabs/wikipedia-2023-11-embed-multilingual-v4,128,"2,379","1,992",0.1
BAAI/bge-base-en-v1.5,CohereLabs/wikipedia-2023-11-embed-multilingual-v5,192,"1,189","1,647",0.1
BAAI/bge-base-en-v1.5,CohereLabs/wikipedia-2023-11-embed-multilingual-v5,256,892,"1,601",0.1
Qwen/Qwen3-Embedding-0.6B,CohereLabs/wikipedia-2023-11-embed-multilingual-v3,64,656,298,0.6
Qwen/Qwen3-Embedding-0.6B,CohereLabs/wikipedia-2023-11-embed-multilingual-v4,96,434,314,0.6
Qwen/Qwen3-Embedding-0.6B,CohereLabs/wikipedia-2023-11-embed-multilingual-v4,128,328,271,0.6
Qwen/Qwen3-Embedding-0.6B,CohereLabs/wikipedia-2023-11-embed-multilingual-v5,192,219,240,0.6
Qwen/Qwen3-Embedding-0.6B,CohereLabs/wikipedia-2023-11-embed-multilingual-v5,256,164,228,0.6
Alibaba-NLP/gte-multilingual-base,HuggingfaceTB/dclm-edu,256,320,500,0.3
Alibaba-NLP/gte-multilingual-base,HuggingfaceTB/dclm-edu,512,160,266,0.3
Alibaba-NLP/gte-multilingual-base,HuggingfaceTB/dclm-edu,1024,80,154,0.3
Alibaba-NLP/gte-multilingual-base,HuggingfaceTB/dclm-edu,2048,40,104,0.3
intfloat/multilingual-e5-large,HuggingfaceTB/dclm-edu,256,174,275,0.6
intfloat/multilingual-e5-large,HuggingfaceTB/dclm-edu,512,87,146,0.6
sentence-transformers/all-MiniLM-L6-v2,HuggingfaceTB/dclm-edu,128,8599,2725,0.022
sentence-transformers/all-MiniLM-L6-v2,HuggingfaceTB/dclm-edu,256,4300,1458,0.022
Qwen/Qwen3-Embedding-4B,HuggingfaceTB/dclm-edu,256,24,23,4
Qwen/Qwen3-Embedding-4B,HuggingfaceTB/dclm-edu,512,12,12,4
Qwen/Qwen3-Embedding-4B,HuggingfaceTB/dclm-edu,1024,6,7,4
